15:45:48:162 [ALWAYS]	GUDE Logging Started
15:45:48:170 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
15:45:48:171 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
15:45:48:171 [ERROR]	Initialize resume cache pointer failure
15:45:48:171 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
15:45:48:172 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
15:45:50:956 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
15:45:50:958 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
15:45:50:958 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
15:45:50:959 [ERROR]	Initialize resume cache pointer failure
15:45:50:959 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
15:45:50:960 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
